code,descr,lang_code,is_active,cr_by,cr_dtimes
RPR_UIN_REAC_EMAIL_SUB,Uin is activated successfully,eng,TRUE,admin,now()
RPR_UIN_DEAC_EMAIL_SUB,Uin is deactivated,eng,TRUE,admin,now()
RPR_UIN_GEN_EMAIL_SUB,UIN Generated,eng,TRUE,admin,now()
RPR_UIN_UPD_EMAIL_SUB,UIN Details Updated,eng,TRUE,admin,now()
RPR_PAUSED_FOR_ADD_INFO_EMAIL_SUB,Requesting the additional details for progressing on the application of UIN,eng,TRUE,admin,now()
otp-sms-template,OTP Send Service,eng,TRUE,admin,now()
auth-email-content,Template for authorization content,fra,TRUE,admin,now()
auth-email-subject,Template for authorization subject,fra,TRUE,admin,now()
auth-sms,Template for authorization SMS,fra,TRUE,admin,now()
RPR_DUP_UIN_EMAIL,Template for duplicate UIN Email,fra,TRUE,admin,now()
RPR_DUP_UIN_SMS,Template for duplicate UIN SMS,fra,TRUE,admin,now()
RPR_TEC_ISSUE_EMAIL,Template for Technical Issue Email,fra,TRUE,admin,now()
RPR_TEC_ISSUE_SMS,Template for Technical Issue SMS,fra,TRUE,admin,now()
RPR_UIN_GEN_EMAIL,Template for UIN generation Email,fra,TRUE,admin,now()
RPR_UIN_GEN_SMS,Template for UIN generation SMS,fra,TRUE,admin,now()
RPR_UIN_UPD_EMAIL,Template for update details Email,fra,TRUE,admin,now()
RPR_UIN_UPD_SMS,Template for update Details SMS,fra,TRUE,admin,now()
NewReg-email-content-template,Template for new registration Email Content,fra,TRUE,admin,now()
NewReg-email-subject-template,Template for new registration Email Subject,fra,TRUE,admin,now()
NewReg-sms-template,Template for new registration SMS,fra,TRUE,admin,now()
OTP-email-content-template,Template for OTP generation Email Content,fra,TRUE,admin,now()
OTP-email-subject-template,Template for OTP generation Email Subject,fra,TRUE,admin,now()
OTP-sms-template,Template for OTP SMS,fra,TRUE,admin,now()
Update-email-content-template,Template for update registration Email Content,fra,TRUE,admin,now()
Update-email-subject-template,Template for update registration Email Subject,fra,TRUE,admin,now()
Update-sms-template,Template for update registration SMS,fra,TRUE,admin,now()
Email-Acknowledgement,Template for Email Acknowledgement,fra,TRUE,admin,now()
Onscreen-Acknowledgement,Template for Onscreen Acknowledgment,fra,TRUE,admin,now()
SMS-Acknowledgement,Template for SMS Acknowledgement,fra,TRUE,admin,now()
Acknowledgement-email-subject,Template for email subject of Acknowledgement,fra,TRUE,admin,now()
RPR_UIN_CARD_TEMPLATE,UIN card template,fra,TRUE,admin,now()
RPR_UIN_DEAC_SMS,Template for UIN Deactivation SMS,fra,TRUE,admin,now()
RPR_UIN_DEAC_EMAIL,Template for UIN Deactivation Email,fra,TRUE,admin,now()
RPR_UIN_REAC_SMS,Template for UIN Reactivate SMS,fra,TRUE,admin,now()
RPR_UIN_REAC_EMAIL,Template for UIN Reactivate Email,fra,TRUE,admin,now()
reg-sms-notification,Registration Acknowledgement Template,fra,TRUE,admin,now()
reg-email-notification,Registration Acknowledgement Template,fra,TRUE,admin,now()
auth-otp-sms-template,auth otp service for sending otp,fra,TRUE,admin,now()
auth-otp-email-subject-template,auth otp email service subject,fra,TRUE,admin,now()
auth-otp-email-content-template,auth otp email service subject,fra,TRUE,admin,now()
ida-auth-otp-email-content-template,Template for Email Content,fra,TRUE,admin,now()
ida-auth-otp-email-subject-template,Template for Email Subject,fra,TRUE,admin,now()
ida-auth-otp-sms-template,Template for OTP in SMS,fra,TRUE,admin,now()
consent,Consent,fra,TRUE,admin,now()
updateUIN-email-notification,Registration Acknowledgement Template,fra,TRUE,admin,now()
updateUIN-sms-notification,Registration Acknowledgement Template,fra,TRUE,admin,now()
lostUIN-email-notification,Registration Acknowledgement Template,fra,TRUE,admin,now()
lostUIN-sms-notification,Registration Acknowledgement Template,fra,TRUE,admin,now()
cancel-appointment,Template for Cancel Appointment,fra,TRUE,admin,now()
RPR_LOST_UIN_SMS,Lost UIN Notification SMS,fra,TRUE,admin,now()
RPR_LOST_UIN_EMAIL,Lost UIN Notification Email,fra,TRUE,admin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,Masked UIN card template,fra,TRUE,admin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,Authentication History Request Success Email,fra,TRUE,admin,now()
RS_AUTH_HIST_SUCCESS_SMS,Authentication History Request Success SMS,fra,TRUE,admin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,Authentication History Request Success EMAIL Subject,fra,TRUE,admin,now()
RS_DOW_UIN_SUCCESS_EMAIL,Successful Download of e-UIN Email,fra,TRUE,admin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,Download e-UIN Status Email Subject,fra,TRUE,admin,now()
