lang_code,id,location_code,holiday_date,holiday_name,holiday_desc,is_active
eng,2000242,RBT,7/27/2019,Saturday - Weekend,Weekend,TRUE
fra,2000243,RBT,7/27/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000244,KTA,7/28/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000245,KTA,7/28/2019,Sunday - Weekend,Weekend,TRUE
fra,2000246,KTA,7/28/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000247,RBT,7/28/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000248,RBT,7/28/2019,Sunday - Weekend,Weekend,TRUE
fra,2000249,RBT,7/28/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000250,KTA,7/30/2019,عيد العرش,عيد وطني,TRUE
eng,2000251,KTA,7/30/2019,Feast of the Throne,National Holiday,TRUE
fra,2000252,KTA,7/30/2019,Fête du trône,Fête nationale,TRUE
ara,2000253,RBT,7/30/2019,عيد العرش,عيد وطني,TRUE
eng,2000254,RBT,7/30/2019,Feast of the Throne,National Holiday,TRUE
fra,2000255,RBT,7/30/2019,Fête du trône,Fête nationale,TRUE
ara,2000256,KTA,7/6/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000257,KTA,7/6/2019,Saturday - Weekend,Weekend,TRUE
fra,2000258,KTA,7/6/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000259,RBT,7/6/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000260,RBT,7/6/2019,Saturday - Weekend,Weekend,TRUE
fra,2000261,RBT,7/6/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000262,KTA,7/7/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000263,KTA,7/7/2019,Sunday - Weekend,Weekend,TRUE
fra,2000264,KTA,7/7/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000265,RBT,7/7/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000266,RBT,7/7/2019,Sunday - Weekend,Weekend,TRUE
fra,2000267,RBT,7/7/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000268,KTA,8/10/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000269,KTA,8/10/2019,Saturday - Weekend,Weekend,TRUE
fra,2000270,KTA,8/10/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000271,RBT,8/10/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000272,RBT,8/10/2019,Saturday - Weekend,Weekend,TRUE
fra,2000273,RBT,8/10/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000274,KTA,8/11/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000275,KTA,8/11/2019,Sunday - Weekend,Weekend,TRUE
fra,2000276,KTA,8/11/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000277,RBT,8/11/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000278,RBT,8/11/2019,Sunday - Weekend,Weekend,TRUE
fra,2000279,RBT,8/11/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000280,KTA,8/12/2019,عيد الأضحى,عيد وطني,TRUE
eng,2000281,KTA,8/12/2019,Eid al-Adha,National Holiday,TRUE
fra,2000282,KTA,8/12/2019,Aïd al-Adha,Fête nationale,TRUE
ara,2000283,RBT,8/12/2019,عيد الأضحى,عيد وطني,TRUE
eng,2000284,RBT,8/12/2019,Eid al-Adha,National Holiday,TRUE
fra,2000285,RBT,8/12/2019,Aïd al-Adha,Fête nationale,TRUE
ara,2000286,KTA,8/14/2019,ذكرى استرداد وادي الذهب,عيد وطني,TRUE
eng,2000287,KTA,8/14/2019,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,TRUE
fra,2000288,KTA,8/14/2019,Anniversaire de la récupération de Oued Ed-Dahab,Fête nationale,TRUE
ara,2000289,RBT,8/14/2019,ذكرى استرداد وادي الذهب,عيد وطني,TRUE
eng,2000290,RBT,8/14/2019,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,TRUE
fra,2000291,RBT,8/14/2019,Anniversaire de la récupération de Oued Ed-Dahab,Fête nationale,TRUE
ara,2000292,KTA,8/17/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000293,KTA,8/17/2019,Saturday - Weekend,Weekend,TRUE
fra,2000294,KTA,8/17/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000295,RBT,8/17/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000296,RBT,8/17/2019,Saturday - Weekend,Weekend,TRUE
fra,2000297,RBT,8/17/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000298,KTA,8/18/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000299,KTA,8/18/2019,Sunday - Weekend,Weekend,TRUE
fra,2000300,KTA,8/18/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000301,RBT,8/18/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000302,RBT,8/18/2019,Sunday - Weekend,Weekend,TRUE
fra,2000303,RBT,8/18/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000304,KTA,8/20/2019,ذكرى ثورة الملك والشعب,عيد وطني,TRUE
eng,2000305,KTA,8/20/2019,Anniversary of the Revolution of the King and the People,National Holiday,TRUE
fra,2000306,KTA,8/20/2019,Anniversaire de la révolution du roi et le peuple,Fête nationale,TRUE
ara,2000307,RBT,8/20/2019,ذكرى ثورة الملك والشعب,عيد وطني,TRUE
eng,2000308,RBT,8/20/2019,Anniversary of the Revolution of the King and the People,National Holiday,TRUE
fra,2000309,RBT,8/20/2019,Anniversaire de la révolution du roi et le peuple,Fête nationale,TRUE
ara,2000310,KTA,8/21/2019,يوم الشباب,عيد وطني,TRUE
